"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Adobe Desktop Service","1","1291","512647168","148774912","119799808","803800","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ADS\Adobe Desktop Service.exe"" --onOSstartup=true --showwindow=false --waitForRegistration=true","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","881.015625","5.10.0.573","5.10.0.573","Creative Cloud","Adobe Creative Cloud","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","744","8",,"False","4/19/2023 2:22:17 PM",,"14716",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","803800","803800","119799808","119799808","547360","547360","244252672","244252672","260947968","260947968","709246976","709246976","True","Normal","119799808","119799808","255","1",,"System.Diagnostics.ProcessThreadCollection","1291","512647168","512647168","False",,,,"148774912","148774912",,"System.Diagnostics.ProcessModule (Adobe Desktop Service.exe)","00:06:53.2500000","00:14:41.0156250","00:07:47.7656250","Adobe Desktop Service","132770","","True",,
"AdobeIPCBroker","1","223","97185792","7204864","7000064","19544","C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\IPCBox\AdobeIPCBroker.exe"" ""-launchedbyvulcan-14232 C:\Program Files\Adobe\Adobe Creative Cloud\ACC\Creative Cloud.exe""","System.Diagnostics.Process (Creative Cloud)","Adobe Inc.","517.140625","7.2.0.34","7.2.0.34","Creative Cloud Interprocess Service","Adobe IPC Broker","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4588","8",,"False","4/19/2023 2:22:16 PM",,"14036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19544","19544","7000064","7000064","136440","136440","12505088","12505088","14376960","14376960","118050816","118050816","True","Normal","7000064","7000064","255","1",,"System.Diagnostics.ProcessThreadCollection","223","97185792","97185792","False",,,,"7204864","7204864",,"System.Diagnostics.ProcessModule (AdobeIPCBroker.exe)","00:01:39.2031250","00:08:37.1406250","00:06:57.9375000","AdobeIPCBroker","0","","True",,
"AdobeNotificationClient","1","468","348340224","9789440","23769088","30096","C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe","""C:\Program Files\WindowsApps\AdobeNotificationClient_3.0.1.1_x86__enpm4xejd91yc\AdobeNotificationClient.exe"" -ServerName:CreativeCloud.AppXkc26ec7ewq1x9dww5fbpte7xrjdypftp.mca",,"Adobe Inc.","0.375","5.2.0.1","5.2.0.1","Adobe Notification Client","Adobe Notification Client","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4848","8",,"False","4/19/2023 2:22:33 PM",,"18440",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","30096","30096","23769088","23769088","419064","419064","23969792","23969792","37064704","37064704","349659136","349659136","True","Normal","23769088","23769088","255","1",,"System.Diagnostics.ProcessThreadCollection","468","348340224","348340224","False",,,,"9789440","9789440",,"System.Diagnostics.ProcessModule (AdobeNotificationClient.exe)","00:00:00.1875000","00:00:00.3750000","00:00:00.1875000","AdobeNotificationClient","0","","True",,
"AdobeUpdateService","0","356","94322688","8773632","4046848","15304",,,,,,,,,,"Process",,,"8",,,,,"4116",".",,,,"15304","15304","4046848","4046848","131872","131872","4743168","4743168","10514432","10514432","105316352","105316352",,,"4046848","4046848",,"0",,"System.Diagnostics.ProcessThreadCollection","356","94322688","94322688","False",,,,"8773632","8773632",,,,,,"AdobeUpdateService","0","","True",,
"AGMService","0","240","101478400","7184384","4681728","14336",,,,,,,,,,"Process",,,"8",,,,,"4188",".",,,,"14336","14336","4681728","4681728","139608","139608","5529600","5529600","12369920","12369920","141606912","141606912",,,"4681728","4681728",,"0",,"System.Diagnostics.ProcessThreadCollection","240","101478400","101478400","False",,,,"7184384","7184384",,,,,,"AGMService","0","","True",,
"AGSService","0","314","96092160","9363456","5427200","13568",,,,,,,,,,"Process",,,"8",,,,,"4172",".",,,,"13568","13568","5427200","5427200","130176","130176","6606848","6606848","13557760","13557760","121589760","121589760",,,"5427200","5427200",,"0",,"System.Diagnostics.ProcessThreadCollection","314","96092160","96092160","False",,,,"9363456","9363456",,,,,,"AGSService","0","","True",,
"ai","1","138","2203482890240","38481920","30171136","11888","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""AC12820F-8CD6-47E5-925B-D333D163C027"" ""51FA2D28-33F5-41AB-B87D-8FEE9151C119"" ""16036"" ""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""","System.Diagnostics.Process (OUTLOOK)","Microsoft Corporation","0.046875","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4532","8",,"False","4/25/2023 10:47:51 AM",,"6240",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11888","11888","30171136","30171136","166640","166640","38195200","38195200","40615936","40615936","2203488632832","170409984","True","Normal","30171136","30171136","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203482890240","164667392","False",,,,"38481920","38481920",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00","00:00:00.0468750","00:00:00.0468750","ai","0","","True",,
"ai","1","138","2203457687552","22224896","11194368","11344","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""D76500F5-3C2A-417F-8374-EB13B9098322"" ""51FA2D28-33F5-41AB-B87D-8FEE9151C119"" ""16036"" ""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""","System.Diagnostics.Process (OUTLOOK)","Microsoft Corporation","0.03125","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","3756","8",,"False","4/25/2023 9:32:45 AM",,"16128",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","11194368","11194368","166624","166624","11255808","11255808","22257664","22257664","2203459788800","141565952","True","Normal","11194368","11194368","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203457687552","139464704","False",,,,"22224896","22224896",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00.0156250","00:00:00.0312500","00:00:00.0156250","ai","0","","True",,
"ai","1","138","2203457654784","22245376","11280384","11344","C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe","""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe"" ""D24A1DD9-E345-478D-B558-415A00D55718"" ""9BFBDB6F-B51E-4912-B740-F11896F4E285"" ""3688"" ""C:\Program Files\Microsoft Office\Root\Office16\WINWORD.EXE""","System.Diagnostics.Process (WINWORD)","Microsoft Corporation","0.921875","0.12.3.0","0.12.3.0","Artificial Intelligence (AI) Host for the Microsoft® Windows® Operating System and Platform x64.","Artificial Intelligence","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4572","8",,"False","4/21/2023 4:38:25 PM",,"26484",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","11344","11344","11280384","11280384","166640","166640","11403264","11403264","22294528","22294528","2203461849088","143626240","True","Normal","11280384","11280384","255","1",,"System.Diagnostics.ProcessThreadCollection","138","2203457654784","139431936","False",,,,"22245376","22245376",,"System.Diagnostics.ProcessModule (ai.exe)","00:00:00.1875000","00:00:00.9218750","00:00:00.7343750","ai","0","","True",,
"ApplicationFrameHost","1","397","2203569319936","26660864","13447168","23248","C:\Windows\system32\ApplicationFrameHost.exe","C:\Windows\system32\ApplicationFrameHost.exe -Embedding",,"Microsoft Corporation","0.765625","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft® Windows® Operating System","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","4040","8",,"False","4/19/2023 2:24:34 PM",,"5980",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","23248","23248","13447168","13447168","364896","364896","21848064","21848064","31612928","31612928","2203583803392","265580544","True","Normal","13447168","13447168","255","1",,"System.Diagnostics.ProcessThreadCollection","397","2203569319936","251097088","False",,,,"26660864","26660864",,"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","00:00:00.3906250","00:00:00.7656250","00:00:00.3750000","ApplicationFrameHost","2036632","","True",,
